,level_0,index,Date,Location,Title,Speech,Cleaned_Speech,Cleaned_Speech_string,cluster
0,1214,MSS1215,2012-10-31,New Delhi,PM's address at 27th Indira Gandhi Award for National Integration,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
1,362,MSS363,2006-08-15,New Delhi,PM launches DD Urdu Channel,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
2,855,MSS856,2010-01-21,New Delhi,PM Presents National Bravery Award to Children,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
3,1147,MSS1148,2012-04-13,"Panchkula, Haryana",PM's speech at the 25th anniversary celebrations of Zonal Cultural Centres,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
4,897,MSS898,2010-05-24,New Delhi,Transcript of PM's National Press Conference,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
5,1119,MSS1120,2012-01-23,New Delhi,PM gives away National Bravery Awards,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
6,857,MSS858,2010-01-28,New Delhi,PM's address at 60th Republic Day Rally of NCC Cadets,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
7,180,MSS181,2005-09-02,New Delhi,PM's remarks at the Central Hindi Committee meeting,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
8,56,MSS57,2004-12-16,New Delhi,PM's speech at the inauguration of DD Direct Plus - India's first free DTH Broadcast Service," ""It gives me great pleasure to be here for the landmark event in the history of Indian broadcasting and communication. Prasar Bharati's Direct to Home Television and Radio Service is a very important step forward in the continuing process of emotional integration of our people and the social and intellectual development of our country - in this vast and ancient land of ours.When Mahatma Gandhi addressed the nation live over All India Radio in November 1947, he described the microphone as ""a wondrous thing"" and said, ""In it I see Shakti: the miraculous power of God."" Today's event is the first step to use the miraculous power of television to reach out to every household without the intervening medium of cable operators and terrestrial transmission centres.Indeed, it is no exaggeration to say that along with Green revolution and the White revolution, the Telcommunication Revolution is a truly a pan-Indian phenomena and that it has transformed our country is well recognised. We are entering into an unprecedented era of information and entertainment revolution. Doordarshan and All India Radio have, long established the largest terrestrial communication network in the world. With DTH they have now the capacity to reach out to every household in this country and beyond. I commend Prasar Bharti and all concerned for making this revolution happen and for enabling a dream to come true.However, all this is progress in the development of the ""medium"". As the ""media guru"" Marshal McLuhan said many years ago, in the age of television the ""medium is the message"". So we must pay attention to what messages we are conveying. It is essential to focus on the importance of content in public broadcasting, in particular. Media must organize content in a manner that promotes the values of our Republic, in particular, the values of Liberalism, pluralism, secularism and of ""Unity in diversity"". While eschewing the temptation to do so, by indulging in vulgar propaganda, public television must present information in a manner that encourages positive thinking and free debate, and affirms values of decency and fairplay in our public life.We must salute today the pioneering vision of our leaders like Indiraji and Rajivji, and the many technologists and managers who took keen interest in the development of our national communication networks. An informed citizenry is the foundation of a vibrant democracy. Fully aware of the central importance of rural India in our political, economic and cultural life, Dr. Vikram Sarabhai had said ""We should consciously reach the most difficult and least developed areas of the country, and because they are in this state, we should reach them in a hurry. Direct Broadcast of TV from a satellite represents the use of advanced technology, which for the first time does not impose a penalty on account of dispersal of the receiving units away from urban centers"". This sense of urgency in communicating is based on our vision of bringing the most backward regions of India on par with the most developed, both economically and socially.Unfortunately, for a variety of reasons, the government has not been able to deliver ""in a hurry"", as Dr. Sarabhai had hoped we would. However, I consider the launching of this DTH service an investment in the cause of development, which will give tremendous returns, economically, socially and culturally. While celebrating this historic occasion, which heralds our entry into a new era of greatly enhanced TV coverage, I would like to focus your attention on the role of the public broadcaster in acting as a source of development, education and empowerment. We must recognize that Prasar Bharti, Akashvani and Doordarshan, are a public resource - a source of empowerment through information and education and for strengthening our citizens' access to participation in our nation's public affairs. Radio and Television are also a marvellous medium of cultural expression and national integration in a diverse country such as ours. They are also a strategic instrument of socio-economic development. By stating all this I am not downplaying the role of Prasar Bharti as a medium of entertainment. We have to remain mindful of the compulsions of the market as well.What I do want to stress is that in a democracy, there is a special role for a public broadcaster. We must define and develop that role. We must prepare programmes, which will have depth and content required by people living in rural and urban areas and in different parts of this vast country of ours. I recall Indiraji's famous speech in which she described how some farmers had labelled a particular high yielding variety of paddy as Radio Rice. They were not aware of the name give to it by the agricultural scientists, but had identified it as ""radio rice"" because they adopted that variety after hearing about it on the radio. What is, therefore, required in a public broadcaster is an attitude and a mindset that addresses the needs and concerns of ordinary people. There is a thirst for information and we must quench that thirst to the best of our ability.I hope that the new DTH channel will enable households across the country to access Classical music, sport, science and wholesome entertainment. This in itself can be an enriching experience, which will make our lives more satisfying. I believe that this service is among the first of its kind being provided by any public broadcaster in the world. The DTH network will enable DD and the constituents of the bouquet to reach out to a global audience, especially the audience in our wider neighbourhood of West, Central, South and South-East Asia. Therefore, we must ask ourselves - what image of our country will we present to the people of this neighbourhood? What values, what aspirations, what ideals and ideas are we going to transmit? Indeed, what worldview will we present? If the DTH platform is merely the ""medium"", a global gateway, what should be the ""message""? Is Doordarshan ready to become like BBC and CNN - a global news channel? Do we have the software capabilities? The ideas, the content, the vision and the aspiration to launch an Indian news channel for the world? These are issues to which we should pay adequate attention in the months and years that lie ahead. I sincerely believe India's problems are numerous, but we must think big about the future of our country. We must think big in the realm of ideas. Our technologists have shown us that we can think big in creating the hardware required. Our intellectuals, artists, journalists, media managers and social activists must now do the same and create the content for a global audience. We must reach out to the world anew, as did our teachers, traders and travellers many millennia ago, to spread the ideas of tolerance, of pluralism and of liberalism, which are values that define the core of our nationhood. In conclusion, I congratulate all those associated with the DTH service and wish you all success in your future endeavours"".Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.","['give great pleasure landmark event history indian broadcasting communication', 'prasar bharati direct home television radio service important step forward continuing process emotional integration people social intellectual development country vast ancient land mahatma gandhi addressed nation live india radio november 1947 described microphone wondrous thing said see shakti miraculous power god', 'today event first step use miraculous power television reach every household without intervening medium cable operator terrestrial transmission centre indeed exaggeration say along green revolution white revolution telcommunication revolution truly pan indian phenomenon transformed country well recognised', 'entering unprecedented era information entertainment revolution', 'doordarshan india radio long established largest terrestrial communication network world', 'dth capacity reach every household country beyond', 'commend prasar bharti concerned making revolution happen enabling dream come true however progress development medium', 'medium guru marshal mcluhan said many year ago age television medium message', 'must pay attention message conveying', 'essential focus importance content public broadcasting particular', 'medium must organize content manner promotes value republic particular value liberalism pluralism secularism unity diversity', 'eschewing temptation indulging vulgar propaganda public television must present information manner encourages positive thinking free debate affirms value decency fairplay public life must salute today pioneering vision leader like indiraji rajivji many technologist manager took keen interest development national communication network', 'informed citizenry foundation vibrant democracy', 'fully aware central importance rural india political economic cultural life dr vikram sarabhai said consciously reach difficult least developed area country state reach hurry', 'direct broadcast tv satellite represents use advanced technology first time impose penalty account dispersal receiving unit away urban center', 'sense urgency communicating based vision bringing backward region india par developed economically socially unfortunately variety reason government able deliver hurry dr sarabhai hoped would', 'however consider launching dth service investment cause development give tremendous return economically socially culturally', 'celebrating historic occasion herald entry new era greatly enhanced tv coverage would like focus attention role public broadcaster acting source development education empowerment', 'must recognize prasar bharti akashvani doordarshan public resource source empowerment information education strengthening citizen access participation nation public affair', 'radio television also marvellous medium cultural expression national integration diverse country', 'also strategic instrument socio economic development', 'stating downplaying role prasar bharti medium entertainment', 'remain mindful compulsion market well want stress democracy special role public broadcaster', 'must define develop role', 'must prepare programme depth content required people living rural urban area different part vast country', 'recall indiraji famous speech described farmer labelled particular high yielding variety paddy radio rice', 'aware name give agricultural scientist identified radio rice adopted variety hearing radio', 'therefore required public broadcaster attitude mindset address need concern ordinary people', 'thirst information must quench thirst best ability hope new dth channel enable household across country access classical music sport science wholesome entertainment', 'enriching experience make life satisfying', 'believe service among first kind provided public broadcaster world', 'dth network enable dd constituent bouquet reach global audience especially audience wider neighbourhood west central south south east asia', 'therefore must ask image country present people neighbourhood', 'value aspiration ideal idea going transmit', 'indeed worldview present', 'dth platform merely medium global gateway message', 'doordarshan ready become like bbc cnn global news channel', 'software capability', 'idea content vision aspiration launch indian news channel world', 'issue pay adequate attention month year lie ahead', 'sincerely believe india problem numerous must think big future country', 'must think big realm idea', 'technologist shown u think big creating hardware required', 'intellectual artist journalist medium manager social activist must create content global audience', 'must reach world anew teacher trader traveller many millennium ago spread idea tolerance pluralism liberalism value define core nationhood', 'conclusion congratulate associated dth service wish success future endeavour content managed prime minister officewebsite designed hosted national informatics centre']",give great pleasure landmark event history indian broadcasting communication prasar bharati direct home television radio service important step forward continuing process emotional integration people social intellectual development country vast ancient land mahatma gandhi addressed nation live india radio november 1947 described microphone wondrous thing said see shakti miraculous power god today event first step use miraculous power television reach every household without intervening medium cable operator terrestrial transmission centre indeed exaggeration say along green revolution white revolution telcommunication revolution truly pan indian phenomenon transformed country well recognised entering unprecedented era information entertainment revolution doordarshan india radio long established largest terrestrial communication network world dth capacity reach every household country beyond commend prasar bharti concerned making revolution happen enabling dream come true however progress development medium medium guru marshal mcluhan said many year ago age television medium message must pay attention message conveying essential focus importance content public broadcasting particular medium must organize content manner promotes value republic particular value liberalism pluralism secularism unity diversity eschewing temptation indulging vulgar propaganda public television must present information manner encourages positive thinking free debate affirms value decency fairplay public life must salute today pioneering vision leader like indiraji rajivji many technologist manager took keen interest development national communication network informed citizenry foundation vibrant democracy fully aware central importance rural india political economic cultural life dr vikram sarabhai said consciously reach difficult least developed area country state reach hurry direct broadcast tv satellite represents use advanced technology first time impose penalty account dispersal receiving unit away urban center sense urgency communicating based vision bringing backward region india par developed economically socially unfortunately variety reason government able deliver hurry dr sarabhai hoped would however consider launching dth service investment cause development give tremendous return economically socially culturally celebrating historic occasion herald entry new era greatly enhanced tv coverage would like focus attention role public broadcaster acting source development education empowerment must recognize prasar bharti akashvani doordarshan public resource source empowerment information education strengthening citizen access participation nation public affair radio television also marvellous medium cultural expression national integration diverse country also strategic instrument socio economic development stating downplaying role prasar bharti medium entertainment remain mindful compulsion market well want stress democracy special role public broadcaster must define develop role must prepare programme depth content required people living rural urban area different part vast country recall indiraji famous speech described farmer labelled particular high yielding variety paddy radio rice aware name give agricultural scientist identified radio rice adopted variety hearing radio therefore required public broadcaster attitude mindset address need concern ordinary people thirst information must quench thirst best ability hope new dth channel enable household across country access classical music sport science wholesome entertainment enriching experience make life satisfying believe service among first kind provided public broadcaster world dth network enable dd constituent bouquet reach global audience especially audience wider neighbourhood west central south south east asia therefore must ask image country present people neighbourhood value aspiration ideal idea going transmit indeed worldview present dth platform merely medium global gateway message doordarshan ready become like bbc cnn global news channel software capability idea content vision aspiration launch indian news channel world issue pay adequate attention month year lie ahead sincerely believe india problem numerous must think big future country must think big realm idea technologist shown u think big creating hardware required intellectual artist journalist medium manager social activist must create content global audience must reach world anew teacher trader traveller many millennium ago spread idea tolerance pluralism liberalism value define core nationhood conclusion congratulate associated dth service wish success future endeavour content managed prime minister officewebsite designed hosted national informatics centre,3
9,348,MSS349,2006-07-20,New Delhi,Follow-up on PM's directions and issues raised in Council of Trade and Industry meeting in Dec 2004,"Contents managed by
Prime Minister’s OfficeWebsite designed & hosted by
National Informatics Centre.",['content managed prime minister officewebsite designed hosted national informatics centre'],content managed prime minister officewebsite designed hosted national informatics centre,3
