index,x,y,z,Date,cluster,Person
MSS1,2.8985944,9.928911,7.60905,2004,3,Manmohan Singh
MSS2,1.5864089,7.3936687,8.650178,2004,1,Manmohan Singh
MSS3,1.8723166,7.6048384,10.589667,2004,1,Manmohan Singh
MSS4,2.85725,8.581143,10.284215,2004,4,Manmohan Singh
MSS5,2.992122,10.393358,7.404863,2004,3,Manmohan Singh
MSS6,3.6602945,9.818193,7.378298,2004,3,Manmohan Singh
MSS7,3.5815961,9.812374,7.4352903,2004,3,Manmohan Singh
MSS8,1.8993082,7.577136,7.9305058,2004,1,Manmohan Singh
MSS9,2.2197528,7.6683187,9.8387375,2004,1,Manmohan Singh
MSS10,0.98802495,8.094082,9.441857,2004,1,Manmohan Singh
MSS11,1.8274657,6.834622,10.001165,2004,1,Manmohan Singh
MSS12,2.1243007,7.4979153,9.754789,2004,1,Manmohan Singh
MSS13,2.6601322,8.161439,10.586436,2004,4,Manmohan Singh
MSS14,1.6301419,8.005215,10.378736,2004,1,Manmohan Singh
MSS15,1.8123766,7.0624385,9.749908,2004,1,Manmohan Singh
MSS16,1.313585,10.219705,9.270996,2004,0,Manmohan Singh
MSS17,1.0091187,7.5085816,9.0962105,2004,1,Manmohan Singh
MSS18,3.472314,7.8975425,9.00108,2004,4,Manmohan Singh
MSS19,1.7411742,6.8276405,10.2821245,2004,1,Manmohan Singh
MSS20,2.7413332,9.375338,8.091741,2004,4,Manmohan Singh
MSS21,2.8727927,9.120797,6.8130045,2004,4,Manmohan Singh
MSS22,4.1677413,8.3133545,9.048309,2004,4,Manmohan Singh
MSS23,3.3644402,10.635395,8.39884,2004,3,Manmohan Singh
MSS24,3.4105341,9.545405,9.165826,2004,3,Manmohan Singh
MSS25,4.148273,8.275639,9.046219,2004,4,Manmohan Singh
MSS26,3.300513,10.172205,7.5113826,2004,3,Manmohan Singh
MSS27,1.6884246,7.0355086,9.930536,2004,1,Manmohan Singh
MSS28,2.107108,7.3563676,10.115297,2004,1,Manmohan Singh
MSS29,0.96397066,9.35165,8.406046,2004,2,Manmohan Singh
MSS30,1.7243502,7.52438,8.5446615,2004,1,Manmohan Singh
MSS31,1.4545418,9.332922,7.5308585,2004,2,Manmohan Singh
MSS32,3.3508012,9.800969,7.3943143,2004,3,Manmohan Singh
MSS33,2.4180355,9.711039,8.430981,2004,0,Manmohan Singh
MSS34,1.3931919,6.9847608,9.339703,2004,1,Manmohan Singh
MSS35,3.0379753,8.732639,10.540647,2004,4,Manmohan Singh
MSS36,2.713336,7.2393785,9.820302,2004,1,Manmohan Singh
MSS37,2.0684364,7.887392,10.146587,2004,1,Manmohan Singh
MSS38,0.96310353,7.318654,10.045703,2004,1,Manmohan Singh
MSS39,2.0532238,7.9184923,7.443388,2004,1,Manmohan Singh
MSS40,3.952347,9.970976,9.285219,2004,3,Manmohan Singh
MSS41,1.7987967,7.4739866,10.620008,2004,1,Manmohan Singh
MSS42,2.090296,7.2820296,9.627578,2004,1,Manmohan Singh
MSS43,1.6216593,10.428794,8.412831,2004,0,Manmohan Singh
MSS44,1.2492195,7.8836293,8.686835,2004,1,Manmohan Singh
MSS45,2.8904605,8.6027,7.682145,2004,4,Manmohan Singh
MSS46,1.4882785,9.476554,7.6133747,2004,0,Manmohan Singh
MSS47,1.6255258,7.6222425,9.608746,2004,1,Manmohan Singh
MSS48,3.2099254,10.488529,9.697864,2004,3,Manmohan Singh
MSS49,1.3654674,9.410444,7.4879174,2004,0,Manmohan Singh
MSS50,1.8088875,8.59628,7.61917,2004,2,Manmohan Singh
MSS51,3.419301,8.39747,10.262556,2004,4,Manmohan Singh
MSS52,3.1425185,10.43765,9.730777,2004,3,Manmohan Singh
MSS53,4.241531,10.02372,8.530721,2004,3,Manmohan Singh
MSS54,2.6289072,9.228928,7.128893,2004,4,Manmohan Singh
MSS55,2.4224446,7.923201,10.575796,2004,1,Manmohan Singh
MSS56,2.3360262,7.1179805,9.814047,2004,1,Manmohan Singh
MSS58,2.843182,6.6965938,9.076759,2004,1,Manmohan Singh
MSS59,1.7949688,8.858791,10.558042,2004,2,Manmohan Singh
MSS60,1.5428193,8.9563055,10.279561,2004,2,Manmohan Singh
MSS61,1.4404614,9.802876,10.258487,2005,0,Manmohan Singh
MSS62,1.762109,7.4770236,10.52742,2005,1,Manmohan Singh
MSS63,3.6340787,8.04199,8.720766,2005,4,Manmohan Singh
MSS64,2.364696,7.5015426,10.689363,2005,1,Manmohan Singh
MSS65,1.6402822,8.554868,7.5981193,2005,2,Manmohan Singh
MSS66,0.816968,8.3611965,8.295484,2005,2,Manmohan Singh
MSS67,2.2209396,10.258526,7.7845755,2005,0,Manmohan Singh
MSS68,0.81532365,8.873602,9.8761,2005,2,Manmohan Singh
MSS69,4.257319,10.20125,8.002633,2005,3,Manmohan Singh
MSS70,0.8620343,9.158471,9.6281805,2005,2,Manmohan Singh
MSS71,1.8393523,7.317231,9.325062,2005,1,Manmohan Singh
MSS72,2.8988333,8.161847,10.486951,2005,4,Manmohan Singh
MSS73,1.8637618,9.952048,8.186306,2005,0,Manmohan Singh
MSS74,2.0448601,10.446258,8.915333,2005,0,Manmohan Singh
MSS75,1.8071193,9.136405,10.67463,2005,2,Manmohan Singh
MSS76,3.181629,8.77024,8.488174,2005,4,Manmohan Singh
MSS77,2.4912553,7.200845,9.695813,2005,1,Manmohan Singh
MSS78,1.8460617,7.1829443,10.377942,2005,1,Manmohan Singh
MSS79,1.2605039,7.950129,8.091612,2005,1,Manmohan Singh
MSS81,3.9152656,9.390908,8.011569,2005,3,Manmohan Singh
MSS83,3.4798346,7.8485336,8.406944,2005,4,Manmohan Singh
MSS84,1.8945975,7.172436,9.578775,2005,1,Manmohan Singh
MSS85,2.1463172,7.3097267,9.958079,2005,1,Manmohan Singh
MSS86,1.9208497,7.2403064,9.634733,2005,1,Manmohan Singh
MSS87,3.9785416,9.734642,8.287278,2005,3,Manmohan Singh
MSS88,3.999021,9.906971,8.149542,2005,3,Manmohan Singh
MSS89,3.932717,9.921617,8.267491,2005,3,Manmohan Singh
MSS90,3.9739237,9.675391,8.647967,2005,3,Manmohan Singh
MSS91,1.9856397,7.2345815,9.557501,2005,1,Manmohan Singh
MSS92,0.75310856,7.518081,8.72039,2005,1,Manmohan Singh
MSS93,1.6817504,9.409242,10.5013,2005,0,Manmohan Singh
MSS95,3.0787842,10.382881,9.087867,2005,3,Manmohan Singh
MSS96,3.104382,7.222594,9.674713,2005,1,Manmohan Singh
MSS97,2.7255547,10.075735,9.839222,2005,0,Manmohan Singh
MSS98,1.6721983,8.101326,7.478436,2005,1,Manmohan Singh
MSS99,1.6926178,7.1092215,9.537139,2005,1,Manmohan Singh
MSS100,2.4267302,10.489493,9.703154,2005,0,Manmohan Singh
MSS101,0.96804696,7.5775537,10.431106,2005,1,Manmohan Singh
MSS102,2.9360292,7.0240183,9.551655,2005,1,Manmohan Singh
MSS103,1.6019245,7.270023,9.406504,2005,1,Manmohan Singh
MSS105,2.7649472,7.0859885,9.284515,2005,1,Manmohan Singh
MSS106,2.6069202,7.302995,8.663736,2005,1,Manmohan Singh
