x,y,Date,index,cluster,Tenure,tenure,Topics
1.4664059,9.865946,2004,MSS1,C1,1,MS_Year_1,The author is exploring the need for reform in government and public institutions in order to improve the quality of life for all citizens.
1.4536208,9.9167,2004,MSS2,C1,1,MS_Year_1,"The central theme of the text is rural development, and the author is exploring the challenges and opportunities associated with it."
2.4193554,8.738447,2004,MSS3,C1,1,MS_Year_1,The central theme of the text is the empowerment of minority communities through education.
2.6005793,8.12672,2004,MSS4,C2,1,MS_Year_1,The author is exploring the role of science and technology in improving the quality of life of Indian people and making the country more self-reliant.
5.1295714,8.039096,2004,MSS5,C3,1,MS_Year_1,The central theme that the author is exploring is the development and prosperity of the people in the region through synergising the respective strengths and resources of the countries.
4.9434037,8.6644,2004,MSS6,C3,1,MS_Year_1,The author is exploring the idea of regional cooperation and its benefits for the countries in the BIMSTEC region.
4.8922205,8.611978,2004,MSS7,C3,1,MS_Year_1,"The central theme of the text is regional cooperation for mutual benefit, with a focus on combating terrorism, gunrunning, and narcotic trafficking."
2.176399,9.686318,2004,MSS8,C1,1,MS_Year_1,"The central theme of the text is the development of India, and the author is exploring the role of the government in this development."
1.0948986,9.390132,2004,MSS9,C0,1,MS_Year_1,"The central theme that the author is exploring is the Congress party's commitment to social and economic justice, and its efforts to achieve this through its policies and programmes."
2.092019,9.686358,2004,MSS10,C1,1,MS_Year_1,The central theme of the text is the role of the private sector in the development of India. The author is exploring the idea that the government should work hand-in-hand with the private sector to create a more prosperous society.
-0.35545388,8.596097,2004,MSS11,C0,1,MS_Year_1,The author is exploring the theme of corruption in India and how it affects the country's economy and political stability.
0.86976546,8.179893,2004,MSS12,C0,1,MS_Year_1,"The author is exploring the life and work of Ram Nath Goenka, and how he used the Indian Express newspaper as a vehicle for patriotism and national fervour during the struggle for independence from British rule."
0.86266,10.555337,2004,MSS13,C0,1,MS_Year_1,The central theme of the text is the importance of small scale industry in the economy and the need for government support in order for it to grow.
0.7729122,9.209997,2004,MSS14,C0,1,MS_Year_1,"The author is exploring the challenges that public sector enterprises (PSEs) face in a changing and increasingly competitive economic environment, and how they can overcome these challenges."
